title,author,origin_text,analysis,tag,display_date
问刘十九,白居易,晚来天欲雪，能饮一杯无？,【原境】老友、红泥小火炉；【逻辑】在寒冷的世界里寻找温暖的锚点；【今日】给久违的朋友发个问候吧，连接感是生活的解药。,小寒,2026-01-05
定风波,苏轼,回首向来萧瑟处，归去，也无风雨也无晴。,【原境】沙湖遇雨，同行皆狼狈；【逻辑】情绪的波动源于对外界的过分反应；【今日】当项目遇到波折，试着跳出来看全局，定力即实力。,大寒,2026-01-20
立春,朱熹,等闲识得东风面，万紫千红总是春。,【原境】春日寻芳；【逻辑】生活不缺少美，缺少发现美的“东风”；【今日】新的一年，给自己一个重新开始的心理暗示，万物皆可期待。,立春,2026-02-04
归园田居,陶渊明,久在樊笼里，复得返自然。,【原境】辞官归隐；【逻辑】所谓樊笼，往往是内心不愿放下的执念；【今日】周末放下手机去公园走走，就是一次“复得返自然”。,雨水,2026-02-19
春夜喜雨,杜甫,随风潜入夜，润物细无声。,【原境】成都草堂冬去春来；【逻辑】真正的高手，其影响力是无声且温润的；【今日】最好的管理和关怀，往往在细节中润物无声。,惊蛰,2026-03-05
春分,徐铉,仲春初九日，春色正中分。,【原境】昼夜平分；【逻辑】宇宙的奥义在于平衡；【今日】在忙碌的工作与生活之间，寻找那个动态平衡的“分寸感”。,春分,2026-03-20
清明,杜牧,借问酒家何处有？牧童遥指杏花村。,【原境】春雨绵绵；【逻辑】在迷茫时，向单纯、质朴的事物寻求答案；【今日】祭奠是为了更好地出发，不忘初心方得始终。,清明,2026-04-04
谷雨,郑板桥,正好清明连谷雨，一杯香茗暂留客。,【原境】谷雨品茗；【逻辑】留住客人，其实是留住一份闲情；【今日】生活再赶，也值得为一杯茶的时间驻足思考。,谷雨,2026-04-20
咏柳,贺知章,不知细叶谁裁出，二月春风似剪刀。,【原境】柳芽初生；【逻辑】借微观事物赞美宏观的创造力；【今日】赞美那些幕后的“裁剪者”，他们才是美的造就者。,立夏,2026-05-05
小满,欧阳修,最爱郊原初满时，晚风微度稻花香。,【原境】麦穗初满；【逻辑】“小满”是人生最好的状态，未满则仍有空间；【今日】不求全责备，留有一丝进步的空间最是受用。,小满,2026-05-21
芒种,陆游,时雨及芒种，四野皆插秧。,【原境】农事最忙；【逻辑】所有的收获都源于此时“弯腰”的耕耘；【今日】芒种，忙着播种，也忙着收获，这是人生的复利。,芒种,2026-06-05
夏至,范成大,昼晷已云极，宵漏自此长。,【原境】昼长之极；【逻辑】极致之后必有转折，阴阳守恒；【今日】在鼎盛时看到隐忧，在低谷时看到希望。,夏至,2026-06-21
夏日山中,李白,懒摇白羽扇，裸袒青林中。,【原境】山中避暑；【逻辑】放下社交伪装，回归真我；【今日】在这个充满人设的世界里，找回那个“懒摇扇”的真实自己。,小暑,2026-07-07
大暑,曾几,赤日几时过，清风无处寻。,【原境】极热之时；【逻辑】当外境无法改变时，唯有磨练心智；【今日】职场的“热战”避无可避，唯有心静自然凉。,大暑,2026-07-23
立秋,刘禹锡,自古逢秋悲寂寥，我言秋日胜春朝。,【原境】秋高气爽；【逻辑】视角决定心态，反向思维能破局；【今日】别人看到的荒凉，或许是你破茧成蝶的机会。,立秋,2026-08-07
处暑,苏泂,处暑无三日，新凉直万金。,【原境】暑气消退；【逻辑】经历过极致的磨难，才懂平凡宁静的可贵；【今日】珍惜那些来之不易的“新凉”时刻。,处暑,2026-08-23
白露,杜甫,露从今夜白，月是故乡明。,【原境】节气转凉；【逻辑】物候的变化触发了情感的归属；【今日】无论走多远，别忘了那个让你心安的“故乡”。,白露,2026-09-07
秋夕,杜牧,天阶夜色凉如水，卧看牵牛织女星。,【原境】秋夜静谧；【逻辑】审美需要“距离感”和“仰望”；【今日】别总盯着脚下的路，偶尔也要抬头看看星空。,秋分,2026-09-23
寒露,王安石,空庭得露地，旷野对余霞。,【原境】露重色浓；【逻辑】在开阔的视野中消解个人的愁绪；【今日】格局大了，事就小了。,寒露,2026-10-08
霜降,刘禹锡,山明水净夜来霜，数树深红出浅黄。,【原境】寒霜催色；【逻辑】严酷的环境是色彩（价值）的催化剂；【今日】经得起岁月的“霜降”，才能红过春花。,霜降,2026-10-23
立冬,李白,冻笔新诗懒写，寒炉美酒时温。,【原境】初冬闭藏；【逻辑】顺应天时，该休整时则休整；【今日】学会阶段性“复盘”与“储备”，为了春天的爆发。,立冬,2026-11-07
小雪,戴叔伦,花雪随风不厌看，更多还肯失林峦。,【原境】初雪飘落；【逻辑】发现细微之美，保持童心；【今日】在枯燥的日常中，寻找那份“不厌看”的新鲜感。,小雪,2026-11-22
江雪,柳宗元,孤舟蓑笠翁，独钓寒江雪。,【原境】极度孤独；【逻辑】孤独是思想者的必经之路，是自由的极致；【今日】享受孤独，那是你与自己对话的黄金时刻。,大雪,2026-12-07
冬至,杜甫,天时人事日相催，冬至阳生春又来。,【原境】阴极之至，阳气始生；【逻辑】循环往复是自然的基本法则；【今日】冬至已至，春天还会远吗？坚持就是胜利。,冬至,2026-12-22
